Name,Location,Founder,Employees,About,Skills,Link
Capgemini - AI / ML Consultant,Job available in Bangalore,Founded in 1967,More than 1000 employees,"Capgemini is an IT services and consulting company that partners with companies to transform and manage their business while leveraging cloud, data, AI, connectivity, software, digital engineering, and platforms.","Python, Machine Learning, SQL, AWS, Google Cloud",https://www.instahyre.com/job-319541-ai-ml-consultant-at-capgemini-bangalore/
Capgemini - Python Developer,Job available in Bangalore,Founded in 1967,More than 1000 employees,"Capgemini is an IT services and consulting company that partners with companies to transform and manage their business while leveraging cloud, data, AI, connectivity, software, digital engineering, and platforms.","Python, SQL, Keras, Azure, CI - CD",https://www.instahyre.com/job-319540-python-developer-at-capgemini-bangalore/
Cars24 - Risk Analyst,Job available in Gurgaon,Founded in 2015,More than 1000 employees,"Cars24 buys second hand cars from customers. Provides free online car price estimation, car inspection from experts. Started by the co-founders of FabFurnish, it is already selling thousands of cars a month.","Python, R, SAS, SQL",https://www.instahyre.com/job-319633-risk-analyst-at-cars24-gurgaon/
DAIOM - Business Analyst - Intern (Internship),Job available in Gurgaon,Founded in 2023,0 - 10 employees,"DAIOM is an AI-driven consulting firm executing data analytics, digital and growth marketing, and omnichannel strategy to integrate online and offline realms spanning e-commerce, retail, BFSI, and SaaS sectors.","Python, Digital Marketing, Power BI, Microsoft Excel, +1",https://www.instahyre.com/job-319524-business-analyst-intern-internship-at-daiom-gurgaon/
Digit88 Technologies - Python Developer,Job available in Work From Home,Founded in 2014,50 - 200 employees,"Digit88 Technologies is an IT & Services organization that provides services related to Web Applications, Mobile Applications, Manual and Automation Testing, Chatbots, etc.","Python, FastAPI, GraphQL, Kubernetes, AWS",https://www.instahyre.com/job-319567-python-developer-at-digit88-technologies-work-from-home/
Digit88 Technologies - Python Developer,Job available in Work From Home,Founded in 2014,50 - 200 employees,"Digit88 Technologies is an IT & Services organization that provides services related to Web Applications, Mobile Applications, Manual and Automation Testing, Chatbots, etc.","Python, FastAPI, GraphQL, AWS, Kubernetes",https://www.instahyre.com/job-319568-python-developer-at-digit88-technologies-work-from-home/
Impact Analytics - Business Analyst,Job available in Bangalore,Founded in 2015,50 - 200 employees,"Impact Analytics helps clients by providing solutions of Price Optimization, Marketing Analytics, Omnichannel Solutions, Personalization, Buying Optimization, CRM, Churn Reduction, Campaign Management, etc.","Python, SQL, Microsoft Excel, Statistics, Data Analysis",https://www.instahyre.com/job-319606-business-analyst-at-impact-analytics-bangalore/
Mercari - Engineer Manager - Backend,Job available in Bangalore,Founded in 2013,500 - 1000 employees,"Mercari is an online marketplace app that allows its users to buy and sell items like apparel, toys, electronic gadgets, and more from their smartphones while having a fast-growing user base with 50 Mn downloads.","Python, Golang, Java",https://www.instahyre.com/job-319556-engineer-manager-backend-at-mercari-bangalore/
Mugafi - ML Engineer,Job available in Gurgaon,Founded in 2020,50 - 200 employees,"Mugafi is a platform offering AI-powered tools and personalized human mentoring to enable writers to create IPs, it aims to build a hub of content creators who can contribute and make money.","Python, NLP, Machine Learning, PyTorch, TensorFlow",https://www.instahyre.com/job-319554-ml-engineer-at-mugafi-gurgaon/
Out of the Blue - SDE - 3,Job available in Pune,Founded in 2020,0 - 10 employees,Out of the Blue is an AI-driven business intelligence platform that provides actionable insights to organizations by identifying data patterns and consumer behavior changes that affects KPIs.,"Python, Test Driven Development, Node.js, Data Structures, +1",https://www.instahyre.com/job-319624-sde-3-at-out-of-the-blue-pune/
