links,names,address,ratings,price for two,cuisine
https://www.zomato.com/pune/yakii-deccan-gymkhana/info,Yakii/,N/A,4.3,"₹1,500 for two","Asian, Thai, Sushi, Desserts, Beverages"
https://www.zomato.com/pune/retox-erandwane/info,Retox/,N/A,4.5,"₹1,200 for two","North Indian, Chinese, Continental, Italian, Salad, Bar Food, Sichuan, Beverages"
https://www.zomato.com/pune/chingari-sheraton-grand-bund-garden/info,Chingari - Sheraton Grand/,N/A,4.3,"₹4,000 for two","North Indian, Mughlai, Kebab, Desserts, Beverages, Seafood"
https://www.zomato.com/pune/feast-sheraton-grand-bund-garden/info,Feast - Sheraton Grand/,N/A,4.3,"₹4,000 for two","Chinese, North Indian, Mughlai, Asian, Continental, Salad, Italian, Desserts"
https://www.zomato.com/pune/kyma-mundhwa/info,Kyma/,N/A,New,"₹1,000 for two","Asian, Mediterranean"
https://www.zomato.com/pune/mutuswami-shivaji-nagar/info,Mutuswami/,N/A,3.3,₹300 for two,"South Indian, Maharashtrian, Pizza, Sandwich, Desserts, Beverages, Coffee, Juices"
https://www.zomato.com/pune/world-of-veg-shivaji-nagar/info,World Of Veg/,N/A,4.0,"₹1,800 for two","North Indian, Oriental, Italian, Continental, Chinese, Salad, Fast Food, Beverages"
https://www.zomato.com/pune/lynx-kitchen-bar-1-fc-road/info,LYNX Kitchen & Bar/,N/A,4.5,"₹1,400 for two","Asian, Continental, Middle Eastern, Sushi, Desserts"
https://www.zomato.com/pune/mister-merchants-kalyani-nagar/info,Mister Merchant’s/,N/A,4.8,"₹2,000 for two","Middle Eastern, Arabian, Kebab, Lebanese, Mediterranean"
https://www.zomato.com/pune/culture-pune-fc-road/info,Culture Pune/,N/A,4.2,"₹1,800 for two","Bar Food, Salad, Continental, Italian, Pasta, Fast Food, Beverages"
https://www.zomato.com/pune/kukoo-kalyani-nagar/info,Kukoo/,N/A,New,"₹1,800 for two","Continental, Asian, Italian, Modern Indian, Salad, Desserts"
https://www.zomato.com/pune/akasa-pool-dining-kitchen-wakad/info,Akasa Pool Dining & Kitchen/,N/A,4.2,"₹3,500 for two","Continental, North Indian"
https://www.zomato.com/pune/the-houz-family-kitchen-kalyani-nagar/info,The Houz - Family Kitchen/,N/A,4.3,"₹2,000 for two","North Indian, Continental, Chinese, Italian, Asian, Salad, Tea, Beverages"
https://www.zomato.com/pune/cherie-hinjawadi/info,Cherie/,N/A,4.7,"₹1,900 for two","Asian, Modern Indian, Chinese, Italian, Salad, Continental, Desserts"
https://www.zomato.com/pune/funny-cat-pune-fc-road/info,Funny Cat Pune/,N/A,3.6,"₹1,500 for two","Bar Food, Italian, Asian, Continental, Desserts, Beverages, Fast Food, Burger"
